Name,Calories,Protein,Carbs,Fat
Jogurt pitny 0% śliwkowy (FruVita),41.0,3.7,6.2,0.5
Wieprzowina (mięso mielone),314.0,14.9,0.7,28.0
Szynka Forest Ham,100.0,17.0,2.0,2.0
Jogurt naturalny BIO - Lidl,72.0,5.0,4.7,3.5
Drożdżówka z makiem i lukrem,325.0,8.7,50.5,9.8
Serek kanapkowy ze szczypiorkiem - Hochland,260.0,7.0,4.0,25.0
Baton Bounty,488.0,3.7,56.7,25.2
Zupa krupnik (bez mięsa),32.0,1.0,5.0,1.0
Pasztet z ciecierzycy,150.0,6.2,8.1,9.4
Bagietka korzenna,257.0,10.6,49.4,1.3
Pasztet Podlaski - Drosed,184.0,7.0,4.0,16.0
Ciasto drożdżowe z rabarbarem,264.0,3.5,31.9,13.2
Faworki,515.0,8.8,49.5,31.6
Serek śmietankowy do kanapek lekki - Delikate,158.0,9.0,3.4,12.0
Sushi,160.0,6.5,31.0,1.3
Nasiona konopii łuskane (hemp),610.0,32.0,1.0,52.0
Pasztet z pieca klasyczny,325.0,22.1,0.9,25.5
Ser Mozzarella - Sottile Gusto,247.0,17.5,1.5,19.0
Sałatka z kurczakiem wędzonym - Vital Fresh,100.0,7.2,6.1,5.0
Sok wyciskany wieloowocowy,41.0,0.1,10.0,0.0
Kiszka pasztetowa,387.0,12.5,4.3,35.7
Polędwica sopocka Nasze Smaki,98.0,15.0,2.0,4.0
Filety śledziowe opiekane w zalewie octowej - Lisner,217.0,11.0,12.0,14.0
Kiełbasa wieprzowo-wołowa wędzona,301.0,12.1,2.0,26.6
Ser biały twaróg chudy TESCO,86.0,17.0,4.5,0.5
Mus jabłkowy słodzony (z słoika/puszki),68.0,0.2,17.5,0.2
Chleb żytni sitkowy,232.0,4.9,49.2,1.5
Masło - Kerrygold,589.0,0.5,0.5,65.0
Mąka gryczana,335.0,12.6,70.6,3.1
Serek homogenizowany o smaku waniliowym z truskawkami - Vitello,177.0,4.1,19.8,9.0
Sos czosnkowy Develey,223.0,0.8,8.8,20.3
Jajko kurze L,139.0,12.0,1.0,10.0
ser biały chudy BIEDRONKA,90.0,18.0,3.1,0.5
Krówka cukierek - Jutrzenka,387.0,4.1,76.9,7.1
Ciastko owsiane z rodzynkami (domowego wypieku),435.0,6.5,68.4,16.2
Jogurt Jogobella light truskawka - Zott,60.0,4.0,8.4,1.1
Zupa warzywna,30.0,1.3,3.5,1.2
Serek wiejski Łaciaty - Mlekpol,99.0,11.0,2.5,5.0
Fasola czerwona konserwowa - Dawtona,101.0,8.1,12.0,0.6
Jogurt Activia Truskawka Kiwi - Danone,78.0,2.8,13.0,1.6
Ciasto biszkoptowe marmurkowe,359.0,6.7,47.7,15.7
Karpatka,398.0,6.7,34.0,26.0
Sucharki delikatesowe - Mamut,391.0,11.6,78.3,4.8
Paluszki Junior - Lajkonik,398.0,11.0,74.0,5.6
Łosoś wędzony na gorąco Stremellachs - Lidl,218.0,26.6,1.0,12.4
Pierogi z jagodami,195.0,6.0,43.0,0.7
Serek wiejski ze szczypiorkiem Piątnica,97.0,11.0,2.0,5.0
Jogurt naturalny 0% - Tesco,41.0,4.1,6.0,0.0
Pizza hawajska,172.0,7.9,25.6,4.6
Szynka eksportowa - Krakus,98.0,19.0,2.0,1.6
Ser twarogowy chudy - Nowak,98.0,19.8,3.5,0.3
Indyk w galarecie - Lidl,67.0,13.3,0.8,1.1
Ciastko francuskie z jabłkiem,393.0,5.2,43.4,22.2
Surówka z kapusty czerwonej - ZPH Witamina,99.0,0.6,5.9,8.2
Wędlina filet z piersi kurczaka - Pikok,103.0,19.1,2.2,2.0
Kiełbasa toruńska,270.0,20.9,0.0,20.1
Baton Milky Way,456.0,4.0,71.2,17.2
Serek śmietankowy Philadelphia - Kraft,250.0,5.8,3.2,23.5
Czekolada mleczna z całymi orzechami Nussbeisser - Alpen Gold,555.0,7.8,48.5,36.0
Sos czosnkowy z jogurtu naturalnego,81.0,4.8,9.5,3.4
Kurczak Hot Wings - KFC,400.0,22.0,21.0,25.0
Ser twarogowy półtłusty - Zott,117.0,16.5,3.7,4.0
Chleb lniany,240.0,7.3,42.0,4.2
Grzanki śródziemnomorskie - Biedronka,502.0,9.0,59.0,25.0
Zapiekanka,227.0,8.7,34.4,5.3
Filet wędzony z kurczaka - Biedronka,173.0,22.0,16.0,2.0
Zupa jarzynowa (mrożonka),32.0,2.1,3.5,0.3
Łosoś wędzony na gorąco (łagodny) - Marinero Selection,232.0,25.0,1.0,14.0
Mąka szymanowska 480 (pszenna),350.0,12.0,73.0,1.5
Bułka z ziarnami - Biedronka,269.0,9.4,46.5,5.1
Warzywa na patelnię po grecku - Mroźna Kraina,47.0,2.2,7.8,0.3
Wino różowe półsłodkie,85.0,0.0,2.6,0.0
Salceson włoski,322.0,14.6,0.0,29.3
Pizza wiejska,280.0,11.5,30.6,12.4
Łosoś Atlantycki wędzony - Suempol,200.0,20.0,0.8,13.0
Czekolada Oreo - Milka,560.0,5.5,55.0,35.0
Gulasz,186.0,11.3,5.9,14.7
Twaróg chudy Delikate - Biedronka,86.0,18.0,3.5,0.0
Kotlet schabowy panierowany smażony na oleju z pestek winogron,216.0,16.0,7.0,14.0
Wędlina filet pieczony z kurczaka - Biedronka,134.0,23.5,2.1,3.5
Żurawina suszona - Makar,353.0,0.5,84.0,0.5
Pierniczki,376.0,4.4,72.0,7.3
Papryka (grillowana),72.0,0.6,8.4,3.5
"Surówka por, marchew, seler",43.0,3.8,7.0,2.5
Wędzona pierś z indyka,90.0,19.1,2.0,1.0
Brokuł Biedronka,30.0,2.8,4.0,0.4
Słonecznik Bako D`Or Natur - Biedronka,580.0,24.0,19.0,44.0
Żurawina (w słoiku),151.0,0.2,38.9,0.2
Pieczywo chrupkie 3 zboża - Wasa,330.0,11.0,59.0,4.5
Kefir naturalny - Danone,41.0,2.9,4.0,1.5
Frytki amerykańskie,180.0,3.0,24.0,8.0
Frytki mrożone,150.0,2.2,24.8,4.7
Płatki kukurydziane Corn Flakes miód i orzeszki - Nestle,401.0,7.1,80.4,4.8
Musli tropikalne - Nestle,381.0,9.5,65.4,7.2
Kabanos serowy - Tarczyński,539.0,24.0,5.0,47.0
Kabanosy - Pikok,532.0,25.0,1.7,47.0
Chleb ziarnisty,299.0,10.0,21.0,18.0
Sos tatarski,590.0,1.3,5.8,62.0
Dżem 100% owoców Wiśnia - Łowicz,143.0,0.7,33.9,0.3
Salceson,318.0,14.6,0.0,29.3
Klementynka,47.0,0.9,12.0,0.2
Bagietka z masłem czosnkowym,318.0,6.5,39.8,14.3
Wafle Kinder Bueno - Ferrero,572.0,9.2,49.6,37.3
Zupa chińska kurczakowa,71.0,1.3,9.1,3.3
Jogurt grecki - Zott,125.0,3.5,4.3,10.0
Kurczak z rożna,260.0,23.0,0.0,19.0
KUPIEC płatki owsiane górskie,378.0,11.9,63.0,7.2
Tofu naturalne,130.0,12.0,0.5,8.0
Chipsy paprykowe,570.0,6.0,50.4,40.0
Bitki wieprzowe,198.0,10.2,2.4,17.2
Wafle kukurydziane,370.0,10.0,73.0,3.0
"Kefir naturalny 1,5 % - Milko",47.0,3.6,4.7,1.5
Pepsi Max,0.0,0.1,0.1,0.0
Odżywka Białkowa KFD WPC80 Premium,378.0,77.0,6.7,4.8
Parówki Piratki z szynki  93%,276.0,14.0,1.2,24.0
Chleb Galicyjski Mieszany - SPPIC Kraków,208.0,6.4,43.9,0.8
Zupa krem z cukinii,16.0,1.0,2.0,1.0
Chleb razowy ze śliwką,181.0,4.6,37.8,1.3
Parówki wędzone z kurcząt - Biedronka,192.0,11.0,7.0,13.0
Płatki (pozostałe),367.0,7.9,74.9,3.6
Makaron Barilla,359.0,12.5,71.2,2.0
Kiełbasa (pozostałe),275.0,17.0,0.0,23.0
Miod akacjowy miody polskie,339.0,0.5,79.5,0.0
Zupa krem z warzyw,54.0,3.4,7.2,1.3
Makaron żytni (ugotowany),103.0,3.0,21.2,0.7
Lasagne z mięsem i sosem,127.0,8.3,12.9,4.7
Porzeczki czerwone,31.0,1.1,13.8,0.2
Precel,338.0,8.2,71.0,3.1
Barszcz Czerwony (Krakus),35.0,0.2,8.0,0.2
Masło Łowickie Extra,744.0,0.7,0.7,82.0
Musli - Biedronka,371.0,9.4,64.7,6.3
Jogurt naturalny Jogobella 0% - Zott,46.0,4.3,5.0,0.1
Ryż jaśminowy (nieugotowany),355.0,6.7,78.9,0.2
mąka żytnia razowa,334.0,11.0,66.0,2.2
Łosoś wędzony z pieprzem - Marinero,195.0,24.0,0.0,11.0
Płatki owsiane Górski Melvit,363.0,13.0,60.0,5.7
Chleb pełnoziarnisty ciemny,247.0,12.0,36.0,4.0
Pyzy z mięsem (mrożone),169.0,5.4,26.0,5.1
Odżywka białkowa formuła 3 - Herbalife,385.0,83.0,4.0,4.0
Masło extra osełka - Mlekovita,746.0,1.0,1.0,82.0
Zielona fasolka szparagowa mrożona - (TESCO),28.0,1.8,3.5,0.1
Chleb żytni z żurawiną - Schulstad,197.0,5.1,35.4,2.0
Tilapia filet,90.0,13.0,0.0,4.0
Ptyś z bitą śmietaną,352.0,5.4,25.8,25.2
Makaron razowy Lasagne (ugotowany),136.0,4.5,28.4,0.6
Majonez light,482.0,1.3,5.3,50.0
Płatki kukurydziane Corn Flakes bezglutenowe - Nestle,380.0,7.3,82.6,1.3
Serek homogenizowany chudy 0% Miss Talia - Maluta,58.0,9.0,5.0,0.0
Chleb Fitness ze słonecznikiem - Schulstad,238.0,7.3,33.2,7.1
Płatki owsiane błyskawiczne KUPIEC,378.0,11.9,63.0,7.2
Babka (ciasto),418.0,4.8,51.4,21.4
Masło Flora light,270.0,0.5,0.5,30.0
Serek twarogowy ziarnisty Trzebownisko - Mlekovita,140.0,13.0,4.0,8.0
Oliwki czarne - Biedronka,127.0,0.5,0.0,13.2
Orzechy Pecan,691.0,9.0,14.0,72.0
Ciasteczka kruche,429.0,5.0,55.0,22.4
Papryka (smażona),133.0,1.0,6.6,12.8
Ryż paraboiled (ugotowany),118.0,2.6,26.3,0.3
Gyros drobiowy,134.0,8.9,19.8,1.6
Chleb Fitness Style z ziarnami - Schulstad,198.0,5.8,33.6,2.4
Chleb Dobry z dynią - Schulstad,279.0,6.8,51.4,3.8
Baton Mars,452.0,3.2,70.1,17.2
Serek z pomidorami dojrzewającymi na słońcu - Almette,235.0,7.1,6.6,20.0
"Pierogi ze szpinakiem i serem ""U Jędrusia""",154.0,5.6,26.0,2.7
Kefir naturalny - Bakoma,60.0,3.4,4.9,3.0
Chili con carne,107.0,5.8,13.1,3.5
Czekolada mleczna - Milka,530.0,6.3,59.0,29.0
Ser Salami SERENADA,339.0,26.2,0.1,26.0
Ketchup pikantny - Kotlin,99.0,1.3,22.0,0.5
Ser topiony Gouda,323.0,14.0,6.0,27.0
Sałatka ziemniaczano-jajeczna,157.0,2.0,16.2,9.4
Maślanka naturalna,47.0,3.4,4.9,1.5
Płatki Cheerios wielozbożowe - Nestle,369.0,6.9,78.8,2.9
Bułka razowa z sezamem,284.0,8.6,50.5,3.5
Owoce leśne mrożone - Spar,40.0,1.1,6.4,0.3
Ser typu bałkańskiego - Lidl,226.0,14.7,1.2,18.0
Czekolada Choco & Biscuit - Milka,560.0,6.0,54.0,34.0
Makaron pełnoziarnisty Kokardki (nieugotowany),357.0,15.2,68.0,1.3
"Fasolka szparagowa zółta gotowana ""Mroźna Kraina"" Biedronka",40.0,1.8,5.7,0.4
Ser topiony - Krówka Śnieżka,239.0,11.0,6.0,19.0
Ryż pełnoziarnisty (ugotowany),156.0,3.6,33.2,1.0
Morwa biała suszona,370.0,4.0,76.0,4.0
Groszek konserwowy - Pudliszki,63.0,4.0,11.0,0.3
Miód wielokwiatowy nektarowy,318.0,0.0,79.0,0.0
Bitki wołowe,106.0,14.2,2.0,4.8
Chipsy Papryka - Lay's,524.0,6.1,51.4,31.7
Chipsy zielona cebulka - Lay's,516.0,6.2,51.8,31.5
Pieczony filet z piersi kurczaka w plastrach - Dulano,104.0,21.5,1.0,1.5
sos słodko - kwaśny - ASPIRO,84.0,1.1,19.0,0.2
Cieciorka - Bonduelle,120.0,6.4,14.7,2.2
Rosół z kury,56.0,4.3,1.5,5.9
Chleb orkiszowy - Biedronka,209.0,6.3,33.7,4.6
Serek kanapkowy naturalny - Biedronka,114.0,7.0,4.7,7.5
Chleb pszenno-żytni krojony - Biedronka,242.0,7.5,48.7,1.3
Cheeseburger McDonald,263.0,12.6,27.8,11.8
Ser Philadelphia lekki - Kraft,110.0,11.5,5.0,4.7
Ser Light - Lidl,212.0,20.0,6.0,12.0
Sałatka z rukolą i serem mozzarella - Fit & Easy,144.0,7.0,6.0,10.0
Wino czerwone - Pinot Noir,82.0,0.0,2.3,0.0
Pomidory krojone w puszce - Dawtona,19.0,1.1,3.2,0.0
Olej lniany - KTC,899.0,0.0,0.0,99.9
Płatki Nesquik - Nestle,386.0,8.1,76.1,3.9
Cukierki karmelowe,382.0,4.6,77.0,8.1
Ser Maasdamer w plastrach bez laktozy - Światowid,334.0,25.0,0.0,26.0
Bułka paryska (Kawiarka),217.0,6.0,45.7,0.8
Przecier pomidorowy - Pudliszki,105.0,5.0,18.0,1.0
Otręby owsiane wysokobłonnikowe - Sante,364.0,18.0,44.0,8.7
Ogonówka parzona,134.0,16.7,0.0,7.5
Mleko zagęszczone - Mleczna Dolina,134.0,5.5,11.0,7.5
Herbata owocowa - Owocowy raj,4.0,0.0,1.0,0.0
Makrela,275.0,20.0,1.0,22.0
Karkówka wieprzowa pieczona,419.0,16.5,0.0,37.8
Ser kozi (twardy),452.0,30.5,2.2,35.6
Makaron orkiszowy (ugotowany),86.0,3.0,19.0,1.0
Kabanosy wieprzowy extra - Tarczyński,411.0,15.0,0.0,39.0
Śmietana,292.0,2.4,3.2,30.0
Amarantus (nasiona),371.0,13.6,65.3,7.0
Chleb Ciabattowy,271.0,7.3,58.5,1.5
Pasta sezamowa Tahini,699.0,26.9,1.9,58.2
Dżem z czarnej porzeczki niskosłodzony,145.0,0.5,34.0,0.5
Ciasto jogurtowe,377.0,5.2,53.4,15.7
Serek Capri typu włoskiego - Sierpc,183.0,12.1,3.6,13.4
Pasta z jaj i ryby wędzonej,257.0,13.8,1.6,24.3
Skrzydełko z kurczaka,186.0,19.2,0.0,12.2
Szprot w pomidorach,108.0,12.0,5.9,4.5
Chleb chłopski - Bonus,269.0,7.0,55.0,1.0
Jagody Goji (150g) - Sante,299.0,11.7,43.2,3.7
Wafle ryżowe ze słonecznikiem - Sonko,384.0,9.2,77.0,3.6
Wieprzowina (łopatka pieczona),317.0,23.5,0.0,24.0
Stek z wołowej polędwicy (grillowany),242.0,26.0,0.8,15.0
Margaryna pyszny duet,225.0,0.0,0.0,25.0
Skrzydełka z kurczaka pieczone  - Biedronka,176.0,17.4,1.6,11.1
Łosoś wędzony - Tesco,213.0,24.0,0.5,13.0
Morszczuk świeży,89.0,17.2,0.0,2.2
Serek śmietankowy w plastrach - Capresi,256.0,6.9,3.0,24.0
Ogórki konserwowe kaszubskie,21.0,0.9,3.8,0.2
Wafle ryżowe z kukurydzą,385.0,8.4,81.2,3.2
Sałatka warzywna,135.0,2.8,8.3,11.3
Przyprawa meksykańska,235.0,9.3,25.0,6.3
Filet śledziowy w sosie pomidorowym Amerigo - Biedronka,141.0,10.0,5.4,8.8
Dżem z czarnej porzeczki - Sympathica,139.0,0.4,32.9,0.1
Sól himalajska,0.0,0.0,0.0,0.0
Smalec ze skwarkami i przyprawami,862.0,3.1,0.2,96.1
Płatki jaglane BIO,363.0,11.0,69.0,4.0
Ketchup łagodny - Kotlin,102.0,1.4,23.0,0.5
Deser sojowy o smaku waniliowym,85.0,3.0,13.0,2.0
M&M's orzeszki,520.0,10.0,58.1,26.6
Kiełbasa wiedeńska delikatna,224.0,14.0,1.0,18.0
Wafle Podpłomyki bez cukru - Kupiec,384.0,1.9,83.0,3.9
Risotto warzywne,178.0,4.6,18.9,9.9
Chleb żytni pełnoziarnisty Pumpernikiel,216.0,5.6,43.6,1.8
Oliwa z oliwek Extra Virgin - Goya,824.0,0.0,0.0,92.0
Wędlina krakowska sucha z indyka - Pikok,140.0,25.0,0.0,4.5
Płatki śniadaniowe Cini Minis truskawkowe - Nestle,420.0,5.1,75.4,10.0
Barszcz czerwony - Winiary (po ugotowaniu),23.0,0.3,5.0,0.2
Serek wiejski - Włoszczowa,115.0,11.0,2.0,7.0
Wędzonka krotoszyńska ekstra - Morliny,111.0,20.0,2.0,2.6
Pieczywo chrupkie oliwkowe - Sante,389.0,11.0,72.0,5.0
Zrazy ze schabu,181.0,16.6,3.0,11.0
Danie tatarskie (KRAINA MIĘSA) - Biedronka,104.0,17.0,1.0,3.0
Pieczarki marynowane Nasza Spiżarnia,34.0,2.3,3.9,0.2
Gulasz po węgiersku,106.0,5.5,6.0,6.5
Kapusta czerwona z jabłkiem NASZA SPIŻARNIA,33.0,1.0,6.0,0.0
Ryż jaśminowy (ugotowany),116.0,2.6,25.0,0.2
Kawa Gold Selection Crema - Tchibo,125.0,15.9,2.6,0.2
Pasztet (pozostałe),199.0,11.0,11.0,12.0
Marchewka z groszkiem - Hortex,52.0,3.0,7.0,1.0
Ciasto z kremem,304.0,2.6,34.0,19.0
Lody Magnum Almond,330.0,4.8,30.2,21.1
Bukiet warzyw kwiatowy - Hortex (mrożonka),28.0,1.9,3.1,0.5
Serek Fromage naturalny - Rians,384.0,10.2,2.4,37.1
Frytki - McDonald's,239.0,2.7,29.0,12.0
Sos sałatkowy czosnkowy,270.0,1.0,13.0,24.0
Pierogi ze szpinakiem,179.0,4.9,31.3,3.5
Chleb - Pro Body,275.0,21.4,6.1,16.8
Margaryna Rama extra maślany smak,700.0,0.5,0.5,79.0
Ser żółty Złoty Mazur - Mlekpol,347.0,26.0,0.1,27.0
Pasztet z pieca bez konserwantów,247.0,19.8,3.0,17.3
Szynka konserwowa Kraina Wędlin - Biedronka,99.0,19.0,1.0,2.0
Sos musztardowo - miodowy,464.0,0.9,23.3,40.8
Pomidor suszony,258.0,14.1,55.8,3.0
Kanapka Twister KFC,239.0,9.5,23.5,12.0
Indyk filet bez panierki (smażony),135.0,26.1,0.0,2.6
Kefir naturalny 0% - Jana,34.0,3.6,5.0,0.0
Groszek konserwowy - Kwidzyn,74.0,4.3,12.0,0.5
Masło bez laktozy- Lumiko,744.0,0.7,0.7,82.0
Botwina (ugotowana),27.0,2.6,5.5,0.2
Makaron ugotowany,90.0,3.6,15.6,1.3
Kakao (proszek) - Puchatek,373.0,3.7,85.6,1.8
Ryż z jabłkami,156.0,1.8,33.0,2.0
Sos śmietanowy,460.0,4.0,12.0,44.0
Chleb Graham - Oskroba,222.0,7.0,41.0,2.0
Jogurt naturalny 2% z wapniem - Pilos,58.0,4.0,6.0,2.0
Kotlet schabowy (duszony),176.0,17.8,3.8,9.8
Soczewica czerwona,327.0,25.4,48.6,3.0
Sok z czarnej porzeczki,53.0,0.3,12.2,0.1
Chleb kresowy - Oskroba,231.0,5.5,42.0,3.7
Włoszczyzna słupki - Mroźna kraina (mrożonka),49.0,1.6,8.0,0.5
Rurki waniliowe - Biedronka,546.0,5.2,60.0,31.0
Kurczak po chińsku,146.0,12.0,23.0,2.0
Granola domowa,431.0,15.0,53.0,20.0
Makaron świderki gotowany,168.0,6.2,33.5,0.7
"Mleko Zambrowskie 1,5%",46.0,3.3,4.8,1.5
Keks bakaliowy,401.0,6.4,53.8,17.8
żurek z jajkiem i kiełbasą,142.0,2.4,26.2,3.5
Karkówka pieczona w rękawie,271.0,16.0,0.0,23.0
Kawa (proszek),241.0,12.2,41.1,0.5
Kawa rozpuszczalna z mlekiem skondensowanym i cukrem,110.0,20.0,7.9,0.0
Kiełbasa z szynki,172.0,16.0,2.3,11.0
"Śniadanie standardowe: szynka konserwowa, parówka, sosik, herbata.",300.0,21.0,30.0,11.0
Jogurt naturalny bez laktozy - Zott,67.0,4.9,3.9,3.1
Ser Ricotta (pełnotłusty),174.0,11.3,3.0,13.0
Zupa szczawiowa z jajkiem,93.0,3.7,9.6,4.4
chleb z biedronki pszenno żytni,231.0,7.3,46.4,1.2
flexit,325.0,50.0,29.0,0.0
Szynka gotowana  Kraina Wędlin - Biedronka,95.0,16.0,2.0,2.5
Mąka jaglana,373.0,10.8,73.1,4.3
Żelatyna,344.0,85.0,0.1,0.1
Jęczmień zielony w proszku,171.0,24.0,14.3,2.0
Orzechowiec (ciasto),487.0,6.2,44.8,31.0
Chleb graham - mieszany - Polański,214.0,5.4,43.7,1.1
Bułka Bagel Plain - Tesco,263.0,9.3,53.6,1.0
Musli Fruchte,342.0,8.8,60.0,5.3
Jogurt naturalny 0% tłuszczu - Jovi,49.0,5.2,6.7,0.2
Kotlet schabowy gotowany na parze,173.0,24.3,0.0,7.8
Olej kokosowy - Virgin Bio,828.0,0.0,0.0,92.0
Wafelek Prince Polo Classic XXL,530.0,5.0,58.5,30.5
Oscypek mlekowita,267.0,25.0,0.0,19.0
Sękacz (ciasto),511.0,12.7,44.2,31.3
Jogurt Activia truskawka poziomka - Danone,76.0,2.8,13.1,1.4
Lody Algida Big Milk,140.0,2.5,24.0,3.5
Chleb pełnoziarnisty ze słonecznikiem - Mestemacher,201.0,5.1,31.6,3.7
Jogurt naturalny kozi,77.0,5.6,2.8,5.0
Udziec z indyka bez skóry,144.0,19.3,0.0,6.7
Wafle kukurydziane czarny pieprz i konopie - Good Food,381.0,9.8,72.0,3.9
Popcorn bez tłuszczu,387.0,12.9,77.9,4.5
Dżem wiśniowy - Łowicz,144.0,0.4,34.9,0.2
Żurawina suszona - Aldi,342.0,0.6,78.5,1.1
Sałatka Cezar z sosem - Fit & Easy,120.0,6.8,6.1,7.4
Sałata Mix - Aldi,16.0,1.3,3.0,0.2
Ser topiony kremowy,277.0,9.0,4.0,25.0
Jogurt Activia do picia truskawka-kiwi,60.0,2.8,10.0,0.9
Serek Wiejski (z malinami i żurawiną) PIĄTNICA,122.0,9.0,13.0,4.0
Słonecznik łuskany - Makar,577.0,24.4,18.6,43.7
Płatki gryczane błyskawiczne,387.0,9.0,81.0,3.0
Miód pszczeli nektarowy HUZAR,340.0,0.0,84.0,0.0
Lody Kaktus,128.0,0.1,24.2,3.4
Skrzydełka z kurczaka (smażone),310.0,21.4,11.2,20.1
Pizza Guseppe z kurczakiem - Dr. Oetker,252.0,8.7,30.0,11.0
"Mleko Łaciate 3,8% Junior - Mlekpol",66.0,3.2,4.7,3.8
Orzeszki ziemne,567.0,20.0,16.0,49.0
Ciastko kruche z marmoladą,444.0,5.1,66.4,17.1
Sos koperkowy,43.0,1.8,3.8,2.6
Tatar,118.0,17.5,0.8,5.0
Makaron pełnoziarnisty Penne (nieugotowany) - Biedronka,345.0,15.2,68.0,1.3
"Sałatka (roszponka, pomidory cherry, ogórek, papryka, feta, oliwa)",71.0,2.3,4.3,4.0
Barszcz czerwony - Winiary,23.0,0.2,4.9,0.3
Sos pomidorowy z oliwkami,68.0,1.5,6.0,3.7
Ser królewski light - Sierpc,300.0,31.0,1.6,19.0
Ser żółty Edamer,312.0,25.0,0.1,23.0
"Ciastko ""szarlotka""",290.0,2.7,40.3,13.5
Salami włoskie,425.0,21.7,1.2,37.0
Cukierki owocowe,350.0,2.6,79.7,2.3
Kebab w bułce,195.0,8.2,19.8,9.7
Daktyle suszone - Makar,290.0,2.0,65.3,0.4
Kebab wołowy,202.0,9.9,20.3,10.4
Chleb Fitness - Piekarnia pod telegrafem,242.0,6.1,55.2,1.3
Orzechy ziemne niesolone,603.0,26.0,14.0,50.0
Chleb alpejski - Biedronka,244.0,8.3,47.0,1.5
Chleb żytni na naturalnym zakwasie - Biedronka,247.0,7.8,49.5,1.3
Chleb żytni - Piekarnia Julka,226.0,6.4,44.0,1.2
Surówka z marchwi,91.0,1.6,8.2,5.3
Chleb żytni z 7 ziarnami - Biedronka,235.0,6.8,30.0,7.6
Ajerkoniak,280.0,4.4,28.4,6.0
Chleb pełnoziarnisty pumpernikiel - Oskroba,216.0,5.6,43.6,1.8
Chleb szczeciński - Netto,245.0,9.0,48.6,1.0
Otręby granulowane z truskawkami,333.0,12.5,36.0,8.5
Szynka konserwowa wieprzowa (parzona),93.0,13.5,3.0,3.0
Ser biały z rzodkiewką,153.0,9.0,3.0,11.0
Chrupki kukurydziane pałeczki - Tygryski,373.0,8.2,80.0,1.8
Chleb żytni litewski,235.0,6.1,49.4,1.9
Naleśniki z jabłkiem,161.0,3.8,32.0,3.2
Koncentrat pomidorowy 30% Pudliszki,104.0,4.9,18.0,0.8
Tuńczyk kawałki w oleju słonecznikowym - Princes,197.0,25.0,0.0,10.8
Kotlet mielony smażony wieprzowy,248.0,19.5,5.9,17.7
Sos sałatkowy Włoski,291.0,0.4,10.4,28.4
Whey Protein,374.0,75.0,9.0,4.0
Kolagen,360.0,90.0,0.0,0.0
Serek twarogowy - Lidl,247.0,5.0,3.0,24.0
Kurczak z rożna bez skóry,100.0,21.5,0.0,1.3
Gołąbki własnej roboty,117.0,12.0,13.0,1.0
Herbata (nieparzona),0.0,0.0,0.0,0.0
Żelki - Haribo,343.0,6.9,77.4,0.1
Pierś indycza  bez skóry,104.0,17.0,4.0,2.0
Ocet balsamiczny Varvello,141.0,0.0,32.4,0.1
Dżem wiśniowy niskosłodzony z kawałkami owoców - Łowicz,144.0,0.0,35.0,0.0
Serek lekki - Twój Smak,157.0,3.4,9.0,12.0
Słodka chwila Kisiel z kawałkami owoców - Dr.Oetker,63.0,0.1,15.8,0.1
Barszcz czerwony z uszkami,95.0,6.0,17.2,0.4
Landrynki Wedel,387.0,0.0,96.0,0.2
Kiełbasa śląska z grilla 1,201.0,20.2,0.0,13.4
Polędwica sopocka wieprzowa,116.0,21.0,1.0,3.0
Konserwa turystyczna,168.0,9.0,4.0,13.2
Sos słodko - kwaśny - Pudliszki,91.0,0.8,21.6,0.2
Makaron 5 jajeczny Krajanka - Czarnecki,369.0,13.3,69.6,3.4
Poledwica drobiowa - JBB,93.0,20.4,0.0,1.2
Bułka fińska,222.0,7.2,41.1,3.6
Ser kozi,452.0,30.5,2.2,35.6
Sok ananasowy,53.0,0.4,12.9,0.1
Filet z indyka wędzony - Zakłady Drobiarskie Koziegłowy,92.0,19.0,1.0,2.0
Jogurt proteinowy,65.0,11.0,4.0,0.0
Kurczak (wędzony),195.0,27.0,0.0,11.0
Pomysł na pierś z kurczaka z czosnkiem i ziołami - Winiary,137.0,27.8,1.0,2.4
Mieszanka Wedlowska - Wedel,554.0,7.5,54.0,33.0
Makrela (w puszce),156.0,23.2,0.0,6.3
Woda smakowa (cytrynowa),21.0,0.0,5.0,0.0
Twarożek wiejski lekki - Piątnica,81.0,11.0,2.4,3.0
Masło roślinne Flora pro-activ do smarowania pieczywa,325.0,0.0,2.5,35.0
Pasztet z indyka,212.0,7.8,5.1,17.9
bigos polski z kiełbasą i grzybami pamapol DOM,108.0,2.9,3.5,8.5
WPC protein plus V3 80,348.0,80.0,4.4,1.2
Mąka pszenna tortowa typ 450 Lubella,352.0,10.0,74.0,1.1
Ciastko kruche z nasionami dyni i słonecznika,518.0,12.0,47.0,31.0
Zabielacz do kawy,557.0,1.5,59.0,35.0
Chleb Razowy Fitness,198.0,5.0,36.9,3.2
Fasola czerwona gotowana (bez soli),127.0,8.7,22.8,0.5
Ciastka Oreo,480.0,4.8,70.0,20.0
Pasztet drobiowy z pomidorami - Profi,208.0,8.1,5.7,17.0
Ciastko owsiane (domowego wypieku),447.0,6.8,66.4,17.9
Jajko w majonezie,248.0,6.2,1.8,23.5
Jogurt typu greckiego z malinami - Piątnica,78.0,7.0,14.4,0.0
Olej lniany - Oleofarm,826.0,0.0,0.0,92.0
